Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1749671495,10,,Aggregated,3.300000,0.200000,2000,2100,2100,2100,2200,4100,4100,4200,4200,4200,4200,129,5,2018.7317000236362,2198.597393789177,2018.7317000236362,4231.410899898037,8814.503875968992
1749671496,10,,Aggregated,3.300000,0.100000,2000,2100,2100,2100,2200,4100,4100,4200,4200,4200,4200,131,5,2018.4021999593824,2196.01288853917,2018.4021999593824,4231.410899898037,9014.969465648855
1749671497,10,,Aggregated,3.200000,0.100000,2000,2100,2100,2100,2200,4100,4100,4200,4200,4200,4200,134,5,2018.4021999593824,2192.657216406886,2018.4021999593824,4231.410899898037,9120.283582089553
1749671498,10,,Aggregated,3.500000,0.100000,2000,2100,2100,2100,2200,4100,4100,4200,4200,4200,4200,137,5,2018.4021999593824,2191.559714586372,2018.4021999593824,4231.410899898037,9267.087591240876
1749671499,10,,Aggregated,3.100000,0.000000,2000,2100,2100,2100,2200,4100,4100,4200,4200,4200,4200,140,5,2018.4021999593824,2190.7775392722606,2018.4021999593824,4231.410899898037,9101.6
1749671500,10,,Aggregated,3.200000,0.000000,2000,2100,2100,2100,2200,4100,4100,4200,4200,4200,4200,144,5,2018.4021999593824,2187.030097207753,2018.4021999593824,4231.410899898037,9485.583333333334
1749671501,10,,Aggregated,3.000000,0.000000,2000,2100,2100,2100,2200,4100,4100,4200,4200,4200,4200,146,5,2018.4021999593824,2185.1091472454345,2018.4021999593824,4231.410899898037,9390.130136986301
1749671502,10,,Aggregated,3.100000,0.000000,2000,2100,2100,2100,2200,4100,4100,4200,4200,4200,4200,149,5,2018.4021999593824,2182.348291931874,2018.4021999593824,4231.410899898037,9885.174496644295
1749671503,10,,Aggregated,3.200000,0.000000,2000,2100,2100,2100,2200,4100,4100,4200,4200,4200,4200,155,5,2018.4021999593824,2190.148750953977,2018.4021999593824,4231.410899898037,10817.774193548386
1749671504,10,,Aggregated,3.100000,0.000000,2000,2100,2100,2100,2200,4100,4100,4200,4200,4200,4200,157,5,2018.4021999593824,2188.1196280113854,2018.4021999593824,4231.410899898037,10744.273885350318
1749671505,10,,Aggregated,3.000000,0.000000,2000,2100,2100,2100,2200,4100,4100,4200,4200,4200,4200,161,5,2018.4021999593824,2184.3914751423326,2018.4021999593824,4231.410899898037,11110.894409937888
1749671506,10,,Aggregated,3.200000,0.000000,2000,2100,2100,2100,2200,4100,4100,4200,4200,4200,4200,162,5,2018.4021999593824,2183.4833709750164,2018.4021999593824,4231.410899898037,11073.469135802468
1749671507,10,,Aggregated,3.200000,0.000000,2000,2100,2100,2100,2200,4100,4100,4200,4200,4200,4200,166,5,2012.529200175777,2179.735330711904,2012.529200175777,4231.410899898037,11404.463855421687
1749671509,10,,Aggregated,3.200000,0.000000,2000,2100,2100,2100,2200,4100,4100,4200,4200,4200,4200,170,5,2012.529200175777,2176.616949401796,2012.529200175777,4231.410899898037,11726.494117647058
